제목,내용
"사기 문자와의 전쟁, 이제는 AI가 전면에 선다","한국인터넷진흥원은 금융감독원과 함께 민생 침해 금융 범죄 피해를 예방하기 위해 불법 금융 스팸 문자 대응체계를 한층 강화한다고 9일 밝혔다. 양 기관은 2024년 12월부터 불법 금융 관련 스팸 데이터를 공유하며 스팸 문자 사전 차단에 협력해 왔다. KISA는 불법 금융 유형의 스팸 신고 데이터를 수집해 제공하고, 금감원이 이를 분석해 선정한 스팸 차단 키워드가 이동통신사 시스템에 등록되는 방식이다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다. 전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다."
"정부, 美와 AI·양자·우주 등 기술 협력 구체화…연말에 성과 발표","한미 기술번영 워킹그룹 킥오프 회의 개최…기술분야별 소위 운영키로 [서울=뉴시스]한국 하정우 AI미래기획수석(오른쪽)과 미국 백악관 마이클 크라치오스 과학기술정책실장이 지난해 10월29일 한-미 기술번영 MOU 체결식에서 기념촬영을 하고 있다. (사진=과학기술정보통신부 제공) [서울=뉴시스]윤현성 기자 = 정부가 미국과 함께 인공지능(AI), 바이오, 양자, 우주 등 주요 기술 분야 협력을 구체화한다. 미국과의 과학기술 분야 성과 협력은 올해 말 발표될 예정이다. 과학기술정보통신부는 한국과 미국이 9일 ‘한-미 기술번영 워킹그룹’ 킥오프 회의를 개최하고, 양국간 기술번영 양해각서 이행을 위한 협력에 본격 착수했다고 밝혔다. 양국은 지난 10월 체결된 ‘한-미 기술번영 양해각서’의 이행을 위한 워킹그룹 출범에 합의한 바 있다. 이번 회의는 첫 번째 공식 회의다. 양측은 워킹그룹의 구성과 추진 체계를 확립하고, 워킹그룹 활동을 통한 최종 목표와 협력 분야에 대해 논의했다. 한국과 미국은 앞으로 AI, 디지털 인프라, 바이오·제약, 양자, 기초·첨단연구, 연구안보, 우주 등 각 기술분야별 소위원회를 운영하며 구체적인 협력 사항을 발굴하기로 했다. 이후 올해 말 제12차 한-미 과학기술공동위원회를 통해 그 성과를 발표할 예정이다. 황성훈 과기정통부 국제협력관은 “한-미 양국 관계에서 과학기술 협력은 양국 간 전략적 파트너십의 핵심 요소로 더욱 중요해지고 있다”며 “이번 워킹그룹 회의를 계기로 구체적인 협력 성과를 도출해 한-미 과학기술 협력이 양국 관계에 실질적인 기여를 할 수 있도록 지속적으로 노력해 나가겠다”고 밝혔다. ◎공감언론 뉴시스 [email protected]"
"대동, 국내 최초 AI 트랙터 출시…무인 농작업 구현","대동은 인공지능 기반 자율작업 기술을 적용한 트랙터를 국내 최초로 출시하고 농업 '필드로봇' 시대를 본격화한다고 9일 밝혔다. 대동은 내년 북미 시장 출시를 목표로 자율작업 기능을 현지화하기 위한 실증을 진행하고 있다. 나영중 대동 그룹경영 부사장은 ""AI트랙터는 단순히 사람이 타지 않는 트랙터가 아니라 농작업을 스스로 수행하는 농업 필드로봇""이라며 ""대동은 AI트랙터를 시작으로 현장에서 실제 가치를 창출하는 AI·로봇 기반 농업 솔루션을 지속 확대해 미래 자율농업 시장을 선도해 나갈 것""이라고 말했다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다. 전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다."
"당근·배민이 점찍은 AI 동료 '슬랙봇'…""한 화면에서 업무 끝낸다""","8일 여의도서 기자간담회서 개최…'슬랙봇' 국내 첫 공개 업무 맥락 파악하는 AI 에이전트…맞춤형 AI 동료 역할 사람·앱·에이전트·데이터 연결해 국내 기업 AX 지원 [서울=뉴시스] 세일즈포스는 8일 서울 여의도 콘래드 호텔에서 기자간담회를 열고 에이전트 중심의 업무 공간으로 진화한 '슬랙(Slack)'과 이를 지원하는 AI 에이전트 '슬랙봇(Slackbot)'을 소개했다. 사진은 박세진 세일즈포스코리아 대표. (사진=세일즈포스 제공) *재판매 및 DB 금지 [서울=뉴시스]이주영 기자 = 하루 업무를 시작하기 위해 메일함과 메신저, 캘린더, 문서 파일을 일일이 열어야 했던 번거로움이 사라진다. 인공지능(AI) 에이전트 '슬랙봇'을 활용하면 한 화면 안에서 주요 메일과 메시지, 미팅 일정 등을 한눈에 파악하고 관리할 수 있기 때문이다. 세일즈포스는 8일 서울 여의도 콘래드 호텔에서 기자간담회를 열고 에이전트 중심의 업무 공간으로 진화한 '슬랙(Slack)'과 이를 지원하는 AI 에이전트 '슬랙봇(Slackbot)'을 소개했다. 슬랙은 단순한 메신저를 넘어 대화, 애플리케이션, 데이터를 하나로 묶는 업무용 플랫폼이다. 현재 슬랙에서는 주당 약 50억 건의 메시지가 전송된다. 이 과정에서 발생하는 수많은 의사결정과 소통 내역은 기업의 데이터로 고스란히 축적된다. 세일즈포스는 슬랙을 단순 협업 도구에서 사람과 AI가 공존하는 '에이전틱 업무 운영체제(OS)'로 발전시킨다는 구상이다. 여러 시스템을 오가는 번거로움 없이 슬랙이라는 하나의 플랫폼 안에서 사람, 앱, 데이터, AI 에이전트를 유기적으로 연결해 업무를 처리할 수 있는 환경을 구축하는 것이 골자다. 이를 위해 세일즈포스는 지난 1월 개인화된 AI 동료와 채팅하며 모든 업무를 수행할 수 있는 슬랙봇을 출시했다. 슬랙봇의 사용법은 직관적이다. 챗봇 형태의 대화형 인터페이스에서 회의록 작성 및 요약은 물론, 연락처 관리, 고객 서비스 담당자 배정 등 주요 업무를 즉시 처리할 수 있다. 특히 반복되는 루틴 업무를 표준화해 불필요하게 소모되는 시간을 줄여준다. 한 화면 안에서 업무가 이뤄지기 때문에 여러 애플리케이션을 오갈 필요도 없어진다. 슬랙봇은 세일즈포스의 애플리케이션부터 노션, 드롭박스 등 외부 앱과 오픈AI, 구글, 엔트로픽의 AI 등 다양한 에이전트와 앱을 연동했다. 확장성도 강점이다. 슬랙봇은 세일즈포스 자체 솔루션은 물론 노션(Notion), 드롭박스(Dropbox) 등 외부 생산성 앱과 오픈AI, 구글, 앤스로픽 등 글로벌 AI 에이전트들과도 폭넓게 연동된다. 또한 세일즈포스는 슬랙봇이 사용자 개인에게 최적화되도록 방대한 데이터를 학습시킨다. 인수합병을 통해 확보한 데이터 360, 인포매티카, 뮬소프트, 태블로를 기반으로 슬랙에 쌓인 인적 구성, 에이전트 활동, 비즈니스 지표 등 기업 내 모든 데이터를 활용해 지능을 고도화한다. 박세진 세일즈포스 코리아 대표는 ""강력한 에이전트의 지능은 신뢰할 수 있는 데이터 위에서 완성된다""며 ""세일즈포스는 독보적인 보안 가드레일과 데이터를 바탕으로 한국 기업들이 AI 시대에 필요한 경쟁력을 확보할 수 있도록 지원할 것""이라고 말했다. 신입사원도 '맥락' 읽는 조직…당근마켓과 배달의민족이 '슬랙' 선택한 이유 [서울=뉴시스] 이청규 우아한형제들 담당, 이예찬 당근마켓 소프트웨어 엔지니어가 세일즈포스 '슬랙봇' 활용 사례를 소개하고 있다. (사진=세일즈포스 제공) *재판매 및 DB 금지 이날 간담회에서는 당근마켓과 우아한형제들(배달의민족) 관계자가 슬랙 활용 사례를 소개했다. 당근마켓은 설립 초기부터 슬랙을 도입했다. 공개 채널에서 투명하게 정보를 공유하는 당근마켓의 사내문화가 슬랙과 만나면서 의사결정 맥락이 자연스럽게 데이터로 쌓이고 있다. 이를 토대로 신규 담당자도 빠르게 업무에 적응할 수 있는 환경이 구축됐다. 이예찬 당근마켓 소프트웨어 엔지니어는 ""장애 알림부터 리포트, 의사결정 내역까지 모든 사업 흐름이 슬랙으로 모이고 있다""며 ""슬랙은 단순한 소통 창구를 넘어 조직의 살아있는 기억이자 민첩한 실행의 토대""라고 말했다. 우아한형제들은 '슬랙 엔터프라이즈 그리드'를 통해 글로벌 조직과 협업하고 '슬랙 커넥트'로 수천 개의 외부 파트너사와 사람·데이터를 연결하는 거대 플랫폼으로 슬랙을 활용하고 있다. 특히 비개발 부서에서도 슬랙의 '워크플로우 빌더'를 활용해 반복 문의를 선제적으로 해결하는 등 업무 효율화를 이뤄냈다고 강조했다. 이청규 우아한형제들 기술제휴운영팀 담당은 ""비개발 부서에서 슬랙의 워크플로우 빌더를 활용해 불필요한 의사소통을 줄이고 있다""며 ""앞으로 슬랙봇 도입을 통해 신규 입사자가 어떤 문제를 어느 채널에 문의해야 할지 고민하는 등의 소모적인 커뮤니케이션, 즉 '컨텍스트 비용'을 획기적으로 줄일 수 있을 것으로 기대한다""고 밝혔다. ◎공감언론 뉴시스 [email protected]"
"카카오뱅크 ""AI 금융비서 도입…대화하며 자산관리""","카카오뱅크 ""AI 금융비서 도입…대화하며 자산관리"" 오유림 기자 구독하기 입력 2026.04.08 17:25 수정 2026.04.09 00:21 지면 A17 글자크기 조절 기사 스크랩 기사 스크랩 공유 공유 댓글 0 댓글 클린뷰 클린뷰 프린트 프린트 윤호영 대표, 중장기 전략 발표 원화 스테이블 코인 발행 계획 퇴직연금·캐피털 사업도 추진 인니·태국 이어 몽골 시장 진출 윤호영 카카오뱅크 대표(사진)가 ‘인공지능(AI) 기반 은행’으로 도약하겠다는 청사진을 공개했다. AI 금융비서를 적극 도입해 이용자가 AI와 대화를 통해 자산을 관리하는 체계를 만들 계획이다. 윤 대표는 모든 세대를 아우르는 자산관리 사업을 위해 퇴직연금 시장에도 진출하겠다는 의지를 드러냈다. 원화 스테이블코인과 캐피털 등 신사업 발굴과 해외 영토 확장에도 적극 나선다. 윤 대표는 8일 서울 여의도 페어몬트 앰버서더서울 호텔에서 연 기자간담회에서 이 같은 중장기 전략을 발표했다. 그는 “이용자들의 데이터를 학습한 대형언어모델(LLM)을 활용해 자산관리 서비스를 대폭 강화하겠다”고 강조했다. 카카오뱅크는 이를 위해 오는 3분기까지 다양한 금융상품을 한눈에 비교해 투자하는 ‘투자 탭’과 흩어진 결제 데이터를 통합 관리하는 ‘결제홈’을 차례로 선보일 예정이다. AI 에이전트가 탑재된 투자 탭에선 대화를 통한 간단한 금융상담이 가능하다. 예컨대 ‘어제 유가증권시장에서 주가가 많이 오른 종목이 뭐냐’고 물으면 곧바로 상승률 상위 종목 리스트를 확인할 수 있다. 결제홈은 이용자의 소비 패턴을 분석해 지출 절감 방법 등 자산 관리방안을 제시해준다. 윤 대표는 “금융 앱 기능이 늘어날수록 고객은 필요한 것을 찾기 어려워진다”며 “AI가 비서처럼 복잡한 금융 문제를 찾아 효율적으로 해결하도록 도울 것”이라고 했다. 윤 대표는 퇴직연금 사업을 시작하겠다는 뜻도 밝혔다. 그는 “퇴직연금을 통해 20·30대부터 시니어까지 아우르는 평생 자산관리 서비스를 선보이겠다”며 “투자상품이 복잡한 연금시장에서 카카오뱅크만의 편의성을 보여줄 것”이라고 설명했다. 새 먹거리 발굴에도 적극 나서겠다는 의지도 보여줬다. 원화 스테이블코인 사업이 대표적이다. 윤 대표는 “원화 스테이블코인 발행과 유통을 주도해 전 세계 자산을 잇는 ‘글로벌 커넥터’로 도약할 것”이라며 “스테이블코인이 현실에서 통장처럼 편리하게 쓰이게 할 것”이라고 했다. 캐피털 사업에 진출하겠다는 의지도 내비쳤다. 윤 대표는 “유망한 캐피털사를 인수하거나 라이선스를 취득하는 방식을 검토하고 있다”고 밝혔다. 해외 시장 확장에도 속도를 낼 방침이다. 윤 대표는 몽골을 카카오뱅크의 세번째 해외 거점으로 삼겠다고 밝혔다. 몽골의 금융기관에 카카오뱅크의 비금융 데이터 기반 독자신용평가모델(CSS) 기술 등을 전수할 계획이다. 카카오뱅크는 현재 인도네시아(슈퍼뱅크 지분 투자)와 태국(합작법인 뱅크X 설립)에 진출해있다. 이 은행은 AI 실시간 번역 등 국내 거주 외국인을 겨냥한 특화 서비스도 올해 안에 선보일 예정이다. 윤 대표는 “이자·비이자 수익을 강화해 내년까지 자산 100조원, 자기자본이익률(ROE) 15%를 달성하겠다”고 말했다. 오유림 기자 our@hankyung.com 좋아요 싫어요 후속기사 원해요 ⓒ 한경닷컴, 무단전재 및 재배포 금지 한국경제 구독신청 모바일한경 보기 오유림 구독하기 ADVERTISEMENT 관련 뉴스 1 서울 소상공인용 '안심통장', 카카오·케이뱅크 출시 카카오뱅크와 케이뱅크는 서울시가 주관하는 ‘안심통장 3호 지원사업’에 참여한다고 12일 발표했다. 안심통장은 서울시가 지원하는 소상공인 전용 마이너스통장으로, 작년 3월 카카오뱅크가 서울시와 협... 2 카뱅, 자립준비청년 지원 캠페인 인터넷은행 카카오뱅크(대표 윤호영·사진)는 자립준비청년들이 직접 참여해 제작한 동화책 5종을 활용해 기부 캠페인을 진행한다고 24일 발표했다. 카카오뱅크는 이번 창작물을 바탕으로 카카오 사회공헌 플랫폼인... 3 ""최대 90% 수수료 절감""…달러 환전, 우대받으며 하세요 지난해 말 잠시 주춤하던 원·달러 환율이 다시 슬금슬금 오르면서 보유한 달러를 원화로 바꿔야 할지 고민하는 투자자가 늘고 있다. 환율 상승기에 조금이라도 더 이익을 남기기 위한 환전 비용 최소화 전략에 ... ADVERTISEMENT 많이 본 뉴스 1 이게 다 '천궁-Ⅱ' 덕분…""이런 폭발적인 주문은 처음입니다"" 2 어쩐지 5000원짜리 자주 보이더라…다이소에 무슨 일이 3 ""다이소 의류코너 싹쓸이""…5000원 바람막이에 꽂힌 관광객 4 ""석유 시대 끝났다""…中 고비사막서 터진 '뉴 오일'의 정체 5 ""이쯤에서 하차""…'상위 1%' 고수들, SK하이닉스 팔고 향한 곳 ADVERTISEMENT 이 시각 관심정보 AD ADVERTISEMENT ADVERTISEMENT ADVERTISEMENT"
하이닉스 AI용 저장장치도 잡나…‘321단 낸드 SSD’ 델에 공급,내용 저장 실패
"콘진원, K-콘텐츠 혁신 이끌 AI 기반 인재 양성한다","이번 협약은 AI 기술과 콘텐츠 산업을 결합한 융합형 핵심 인재를 체계적으로 양성하기 위해 마련됐다. 사업은 실무 중심 교육과 팀 프로젝트를 결합한 과정으로 운영되며, 100명 이상의 전문인력 양성을 목표로 한다. 교육 대상은 콘텐츠 관련 분야에서 10년 이상의 경력을 보유한 현업 전문가로, 프로젝트 기반 교육 참여가 가능한 개인 또는 팀이다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다. 전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다."
"""위험 탐지 3배""…뷰노, '소아중환자 삽관 예측' AI 개발","국제 학술지 'Heart & Lung' 게재…기존 모델 대비 성능 향상 소아 대상 AI로 성인 모델 한계 극복…중환자 조기 대응 가능 [서울=뉴시스] 의료 AI 기업 뷰노는 소아 중환자의 인공호흡기 삽관의 필요성을 예측하는 AI 기반 조기경보시스템에 관한 연구 결과가 국제 학술지인 'Heart & Lung(IF 2.6)'에 게재됐다고 9일 밝혔다. (사진=뷰노 제공) 2026.04.09. [email protected] *재판매 및 DB 금지 [서울=뉴시스]송종호 기자 = 뷰노가 개발한 소아 중환자 인공호흡기 삽관 필요성을 예측하는 의료 인공지능(AI)에 대한 연구 결과가 국제 학술지에 게재됐다. 이번 연구에서 뷰노는 소아 환자를 대상으로 높은 예측 정확도를 유지하면서도 불필요한 알람 발생을 줄여, 환자 안전과 의료진의 업무 부담을 동시에 개선할 수 있음을 입증했다. 의료 AI 기업 뷰노는 소아 중환자의 인공호흡기 삽관의 필요성을 예측하는 AI 기반 조기경보시스템에 관한 연구 결과가 국제 학술지인 'Heart & Lung(IF 2.6)'에 게재됐다고 9일 밝혔다. 이번 연구는 양산부산대학교병원 소아청소년과 및 호흡기내과 연구팀과 뷰노의 공동연구로 수행됐다. 연구팀은 소아중환자실 입원 환자 데이터를 분석해 인공호흡기, 즉 침습적 기계환기 삽관의 필요성을 예측하는 딥러닝 모델을 개발해 기존 모델과 비교했다. 급성 호흡부전은 소아중환자실 입실과 심정지로 이어질 수 있는 주요 요인 중 하나로, 환자 상태 파악이 지연될수록 위험도가 높아지므로 적절한 시점의 침습적 기계환기 삽관이 중요하다. 반면 소아환자는 연령대가 넓고 원인 질환이 다양해 상태 악화를 조기에 인지하기 어렵다. 특히 기존의 예측 모델들은 대부분 성인 중심으로 개발되어 소아 환자에게 적용하기 힘든 한계가 있었다. 이에 연구팀은 2012년부터 2022년까지 양산부산대학교병원의 소아중환자실에 입원한 만 18세 미만 환자 1318건의 전자의무기록을 분석해 최대 8시간 전에 침습적 기계환기의 필요성을 예측하는 AI 기반 조기경보 시스템(DeePedIMV)을 개발 및 검증했다. DeePedIMV는 특정 질환군에 국한된 기존 모델과 달리 다양한 원인의 급성 악화를 반영한 모델로 범용적 예측이 가능하다. 연구 결과를 보면 DeePedIMV는 예측 정확도(AUROC) 약 0.88을 기록하며 우수한 예측 성능을 보였다. AUROC 점수는 0~1사이의 값으로 측정한다. 이러한 성능은 연령과 질환 유형에 관계없이 모든 그룹에서 일관되게 나타났으며, 특히 1세 이하의 환자군에서 가장 높은 정확도를 기록했다. 특히 실제 위험 상황을 짚어내는 지표인 AUPRC에서도 약 0.47을 기록해 기존 모델 대비 약 3배 이상 높은 성능을 입증했다. 또한 동일한 민감도에서 알람 횟수를 절반 이하로 줄임으로써 의료진의 업무 환경을 효율적으로 개선했다고 회사 측은 전했다. 주성훈 뷰노 최고기술책임자(CTO)는 ""이번 연구를 통해 개발된 딥러닝 알고리즘이 불필요한 알람은 줄이고, 침습적 기계환기 삽관이 필요한 고위험 소아 중환자는 선제적으로 예측할 수 있음을 입증했다""고 말했다. 이어 ""뷰노의 기술력이 성인을 넘어 소아 영역의 환자 안전에도 기여할 수 있도록 지속적으로 노력하겠다""라고 덧붙였다. 한편 뷰노는 소아 환자를 대상으로 한 연구를 지속하고 있다. 이번 성과는 네 번째 소아 대상 연구로, 앞서 신생아 중환자실 환자의 침습적 기계환기 삽관 필요성 예측과 소아 심정지 예측 모델 개발 등을 수행한 바 있다. 현재는 소아 환자의 인공호흡기 제거 실패를 예측하는 연구를 진행하고 있다. ◎공감언론 뉴시스 [email protected]"
"[단독] 네이버클라우드, AI 보안전략 조직 신설… 수장에 국정원 출신 김...",내용 저장 실패
"딥노이드, GPU 확보로 '100억' 절감…의료AI 판 키운다","과기부 지원사업 선정…""구글 모델 능가하는 모델 개발할 것"" 국내 최초 멀티모달 기반 의료 AI 파운데이션 모델 개발 가속 [서울=뉴시스] 8일 딥노이드는 과학기술정보통신부가 추진하고 정보통신산업진흥원(NIPA)이 주관하며, 한국정보통신진흥협회(KAIT)가 운영하는 '첨단 GPU 활용 지원 사업'에 선정됐다고 밝혔다. (사진=딥노이드 제공) 2026.04.08. [email protected] *재판매 및 DB 금지 [서울=뉴시스]송종호 기자 = 의료 인공지능(AI) 전문기업 딥노이드가 멀티모달 기반 의료 AI 파운데이션 모델 ‘MedZero-32B’ 개발을 본격화한다. 이를 통해 구글의 의료 특화 AI '메드젬마(MedGemma)'를 능가하는 독자적인 모델을 선보인다는 계획이다. 8일 딥노이드는 과학기술정보통신부가 추진하고 정보통신산업진흥원(NIPA) 주관, 한국정보통신진흥협회(KAIT)가 운영하는 '첨단 GPU 활용 지원 사업'에 선정됐다고 밝혔다. 딥노이드는 컨소시엄이 아닌 단독으로 사업에 참여해 H200 GPU 256장(서버 32대)을 온전히 확보했다. 딥노이드는 이를 기반으로 대규모 학습 환경을 구축해 멀티모달 기반 의료 AI 파운데이션 모델 'MedZero-32B' 개발을 추진할 방침이다. 'MedZero-32B'는 X-ray, 컴퓨터 단층 촬영(CT), 자기공명영상(MRI) 등 다양한 의료 영상을 아우르는 멀티모달 기반 파운데이션 모델이다. 딥노이드는 한국 의료 데이터를 활용해 국내 의료 현장에 최적화된 한국어·의학 지식 역량과 설명 가능성을 확보함으로써 국내 최초의 멀티모달 기반 의료 AI 파운데이션 모델 개발을 목표로 한다. 이를 위해 딥노이드는 의료 영상 및 의료 텍스트를 포함한 약 1PB(페타바이트) 규모의 데이터와 멀티모달 대규모 언어모델(LLM) 학습 기술, RadZero 멀티모달 Encoder 학습 기술 등 검증된 자체 기술력을 갖췄다. 여기에 이번 국가 AI 컴퓨팅 인프라 지원까지 더해지면서 파운데이션 모델 개발에 필요한 핵심 조건을 모두 확보하게 됐다. 특히 구글의 MedGemma를 벤치마크(준거모델)로 삼아 의료 영상 이해 및 판독 소견서 초안 생성 등 핵심 지표에서 이를 능가하는 SOTA(최첨단) 수준의 성과를 달성함으로써 다양한 모달리티의 의료 AI 솔루션 제품화를 한층 앞당긴다는 방침이다. 이번 지원 사업을 통해 딥노이드는 클라우드 사용 비용 100억 원 이상을 충당할 수 있어 연구개발(R&D) 비용 구조의 획기적 개선이 기대된다. 최우식 딥노이드 대표는 ""지원받는 GPU 자원이 분산되지 않고 딥노이드에 집중되는 만큼, 내부 역량을 집중해 구글 'MedGemma'를 능가하는 독자적인 멀티모달 기반 의료 AI 파운데이션 모델을 개발하겠다""고 말했다. 이어 ""이를 통해 확보될 기술 경쟁력을 실질적인 사업 성과 창출로 이어갈 수 있도록 다양한 방안을 강구하겠다""고 덧붙였다. 한편, 딥노이드는 'MedZero-32B' 완성 이후 이를 토대로 의료 AI 에이전트 개발을 추진할 계획이다. 이를 통해 병변의 예후 예측부터 치료 계획 수립까지 솔루션 영역을 단계적으로 확장해나갈 방침이다. ◎공감언론 뉴시스 [email protected]"
